Unit name,Time From,Time To,Heat Demand,Produced heat,Electricity Price,Electricity usage,Expenses,Primary energy,CO2
GM,07/10/2023 19:00:00,07/10/2023 20:00:00,1.53,1.53,1241.18,-1.1475,258.74594999999977,0.8075,272
GM,07/10/2023 20:00:00,07/10/2023 21:00:00,1.5,1.5,1319.18,-1.125,165.9224999999999,0.7916666666666665,266.66666666666663
GM,07/10/2023 21:00:00,07/10/2023 22:00:00,1.49,1.49,1350.53,-1.1175,129.78272500000003,0.7863888888888888,264.88888888888886
GM,07/10/2023 22:00:00,07/10/2023 23:00:00,1.47,1.47,1221.9,-1.1025,269.85524999999984,0.7758333333333333,261.3333333333333
GM,07/10/2023 23:00:00,07/11/2023 00:00:00,1.57,1.57,1002.75,-1.1775,546.2618749999999,0.8286111111111111,279.1111111111111
GM,07/11/2023 00:00:00,07/11/2023 01:00:00,1.53,1.53,933.08,-1.1475,612.2907,0.8075,272
GM,07/11/2023 01:00:00,07/11/2023 02:00:00,1.54,1.54,868.05,-1.155,691.40225,0.8127777777777777,273.77777777777777
GB,07/11/2023 02:00:00,07/11/2023 03:00:00,1.42,1.42,789.68,0,710,0.3124,61.059999999999995
GB,07/11/2023 03:00:00,07/11/2023 04:00:00,1.46,1.46,755.1,0,730,0.3212,62.779999999999994
GB,07/11/2023 04:00:00,07/11/2023 05:00:00,1.48,1.48,747.75,0,740,0.3256,63.63999999999999
GM,07/11/2023 05:00:00,07/11/2023 06:00:00,1.56,1.56,845.55,-1.1700000000000002,726.7064999999999,0.8233333333333334,277.33333333333337
GM,07/11/2023 06:00:00,07/11/2023 07:00:00,1.6,1.6,926.63,-1.2000000000000002,648.0439999999999,0.8444444444444444,284.44444444444446
GM,07/11/2023 07:00:00,07/11/2023 08:00:00,1.68,1.68,940.43,-1.26,663.0582000000002,0.8866666666666665,298.66666666666663
GM,07/11/2023 08:00:00,07/11/2023 09:00:00,1.8,1.8,907.13,-1.35,755.3744999999999,0.95,320
GB,07/11/2023 09:00:00,07/11/2023 10:00:00,1.78,1.7799999999999998,788.25,0,890,0.3916,76.53999999999999
